"ut_hard","soft"
4.875,2.016
1.062,1.972
2.323,1.984
2.336,1.999
2.344,2.008
3.099,2.014
0.277,2.015
4.223,2.119
4.278,2.134
-0.263,1.877
0.27,1.875
2.216,2.15
5.909,2.148
0.754,2.044
2.231,2.018
2.967,1.975
1.511,1.906
2.222,1.906
3.281,1.857
1.231,1.719
2.235,1.664
2.239,1.659
2.246,1.667
2.253,1.61
2.261,1.603
2.267,1.588
1.495,1.629
0.842,1.963
0.275,2.351
7.859,2.45
2.155,2.344
1.567,2.27
1.54,2.196
2.274,2.164
2.271,2.11
2.267,1.978
2.263,1.932
2.259,1.909
2.255,1.905
2.251,1.9
3.003,1.9
1.473,1.902
1.017,1.94
4.538,2.031
0.556,1.922
0.353,1.931
3.131,2.258
6.173,2.307
0.598,2.174
2.351,2.19
2.352,2.132
2.358,2.025
1.612,2.005
3.868,2.005
1.613,1.966
2.357,1.97
2.339,1.933
2.325,1.898
2.297,1.865
2.25,1.885
2.172,1.824
2.031,1.641
