"ut_hard","soft"
4.875,1.808
1.062,1.762
2.323,1.775
2.336,1.79
2.344,1.799
3.099,1.805
0.277,1.805
4.223,1.889
4.278,1.901
-0.263,1.687
0.27,1.679
2.216,1.91
5.909,1.906
0.754,1.817
2.231,1.793
2.967,1.755
1.511,1.697
2.222,1.7
3.281,1.66
1.231,1.529
2.235,1.48
2.239,1.477
2.246,1.489
2.253,1.434
2.261,1.423
2.267,1.409
1.495,1.442
0.842,1.756
0.275,2.097
7.859,2.179
2.155,2.093
1.567,2.024
1.54,1.959
2.274,1.935
2.271,1.888
2.267,1.766
2.263,1.723
2.259,1.704
2.255,1.699
2.251,1.695
3.003,1.694
1.473,1.697
1.017,1.728
4.538,1.811
0.556,1.71
0.353,1.719
3.131,2.014
6.173,2.057
0.598,1.937
2.351,1.951
2.352,1.91
2.358,1.82
1.612,1.808
3.868,1.81
1.613,1.773
2.357,1.773
2.339,1.739
2.325,1.707
2.297,1.673
2.25,1.692
2.172,1.624
2.031,1.453
