"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11"
"9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998"
"9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998","9.74999999999998"
"10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5"
"10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5"
"10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25","10.25"
"9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998"
"9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998","9.49999999999998"
"8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998","8.24999999999998"
"7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999"
"6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999"
"6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999","6.99999999999999"
"6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999","6.74999999999999"
"5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999","5.24999999999999"
"7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999","7.24999999999999"
"7.99999999999999","7.99999999999999","7.99999999999999","7.99999999999999","7.99999999999999","7.99999999999999","7.99999999999999","7.99999999999999","1.33711711424999","1.33711711424999","1.33711711424999","1.33711711424999","14.66288288575","14.66288288575","14.66288288575","14.66288288575","7.99999999999999","7.99999999999999","7.99999999999999","7.99999999999999","1.33711711424999","1.33711711424999","14.66288288575","14.66288288575","7.99999999999999","7.99999999999999","1.33711711424999","14.66288288575","7.99999999999999","7.99999999999999","7.99999999999999"
