"ut_hard","soft"
2,2
1.375,1.375
1.333,1.333
1.25,1.25
1.312,1.312
2,2
0.918,2.264
5.082,3.227
3.625,3.115
1.625,2.665
1.812,2.853
4.125,3.594
4.562,4.032
3.562,3.562
3.062,3.062
2.562,2.562
1.875,1.875
2.125,1.764
2.873,1.586
-0.31,0.976
0.25,0.611
0.375,0.375
0.25,0.25
0.375,0.375
0.625,0.625
0.812,0.812
0.937,1.526
1.437,2.701
1.819,3.999
9.368,5.337
6.25,4.901
3.562,4.237
2.687,3.362
2.5,2.5
1.937,1.937
1.437,1.437
1.187,1.187
1.125,1.125
1.062,1.062
1.187,1.187
1.562,1.562
1.75,1.75
2.062,2.062
2.562,2.562
2.187,2.794
0.905,3.146
6.97,4.729
5.437,4.831
4.125,4.125
3.375,3.375
2.437,2.437
1.562,1.562
1.312,1.312
1.25,1.25
1.062,1.062
1,1
0.812,0.812
0.625,0.625
0.625,0.625
0.583,0.583
0.625,0.625
0.75,0.75
