"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"5.09524105384777","2.41421356237309","2.41421356237309","1","2.41421356237309","3.73205080756888","1","4.68555772028297","5.3099862821424","2.41421356237309","4.34606521495123","4.02029641883961","5.46183408929698","5.91591104511247","8.04528073915317"
"2.41421356237309","2.41421356237309","1","2.41421356237309","3.73205080756888","1","4.68555772028297","5.09524105384777","3.41421356237309","2.41421356237309","3.34606521495123","6.91606913860891","4.12132034355964","7.25642479084981","8.04528073915317"
"2.41421356237309","1","2.41421356237309","3.73205080756888","1","4.68555772028297","5.09524105384777","2.41421356237309","2.41421356237309","4.34606521495123","4.02029641883961","5.3099862821424","4.78023896615753","6.59750616825191","8.04528073915317"
"1","2.41421356237309","3.73205080756888","1","4.68555772028297","5.09524105384777","2.41421356237309","1","2.41421356237309","3.34606521495123","6.91606913860891","2.41421356237309","4.07313218497098","6.59750616825192","7.54528073915317"
"2.41421356237309","3.73205080756888","1","4.68555772028297","5.09524105384777","2.41421356237309","1","3.73205080756888","4.34606521495123","4.02029641883961","5.3099862821424","3.34606521495123","5.91591104511247","6.12075271189487","8.51120656544223"
"3.73205080756888","1","4.68555772028297","5.09524105384777","2.41421356237309","1","3.73205080756888","6.16227766016838","3.34606521495123","6.91606913860891","2.41421356237309","6.99634675482412","7.25642479084981","6.65427101505518","9.83634733537868"
"1","4.68555772028297","5.09524105384777","2.41421356237309","1","3.73205080756888","6.16227766016838","3.73205080756888","4.02029641883961","5.3099862821424","3.34606521495123","6.99634675482412","6.59750616825191","7.31318963765306","9.83634733537868"
"4.68555772028297","5.09524105384777","2.41421356237309","1","3.73205080756888","6.16227766016838","3.73205080756888","3.14626436994197","6.91606913860891","2.41421356237309","6.99634675482412","4.86370330515627","6.59750616825192","8.38632182262405","10.5951663804812"
"5.09524105384777","2.41421356237309","1","3.73205080756888","6.16227766016838","3.73205080756888","3.14626436994197","3.73205080756888","5.3099862821424","3.34606521495123","6.99634675482412","4.86370330515627","6.12075271189487","8.38632182262405","10.258050778537"
"2.41421356237309","1","3.73205080756888","6.16227766016838","3.73205080756888","3.14626436994197","3.73205080756888","1","2.41421356237309","6.99634675482412","4.86370330515627","3.34606521495123","6.65427101505518","5.80518299253986","8.81016441865236"
"1","3.73205080756888","6.16227766016838","3.73205080756888","3.14626436994197","3.73205080756888","1","3.14626436994197","3.34606521495123","6.99634675482412","4.86370330515627","2.93185165257814","7.31318963765306","5.51228977372641","9.06898346375488"
"3.73205080756888","6.16227766016838","3.73205080756888","3.14626436994197","3.73205080756888","1","3.14626436994197","4.23606797749979","6.99634675482412","4.86370330515627","3.34606521495123","5.22009726384887","8.38632182262405","6.05719157750532","10.2131062693902"
"6.16227766016838","3.73205080756888","3.14626436994197","3.73205080756888","1","3.14626436994197","4.23606797749979","1","6.99634675482412","4.86370330515627","2.93185165257814","3.70245917364383","8.38632182262405","4.69116617372088","9.24718044310118"
"3.73205080756888","3.14626436994197","3.73205080756888","1","3.14626436994197","4.23606797749979","1","1","4.86370330515627","3.34606521495123","5.22009726384887","1.41421356237309","5.80518299253986","4.69116617372088","7.42203967316473"
"3.14626436994197","3.73205080756888","1","3.14626436994197","4.23606797749979","1","1","1","4.86370330515627","2.93185165257814","3.70245917364383","1.41421356237309","5.51228977372641","3.61803398874989","6.45611384687567"
