"ut_hard","soft"
2.499,2.499
2.329,2.329
2.294,2.294
2.312,2.312
2.324,2.324
1.847,2.277
1.581,2.123
5.572,2.576
3.571,2.428
1.629,1.973
1.512,1.924
2.608,2.278
3.839,2.324
3.003,2.133
2.395,2.068
2.369,2.03
1.86,1.895
2.146,1.908
1.948,1.842
1.715,1.626
1.847,1.578
1.566,1.581
1.636,1.568
1.645,1.548
1.623,1.555
2.154,1.553
1.868,1.587
1.997,1.886
4.374,2.445
4.968,2.709
3.919,2.553
3.79,2.459
3.046,2.361
2.44,2.288
2.189,2.226
1.736,2.112
1.795,2.116
1.865,2.129
1.874,2.14
1.988,2.152
1.995,2.16
1.714,2.144
1.783,2.194
2.769,2.299
2.197,2.104
1.552,1.965
5.673,2.603
4.001,2.54
3.233,2.343
3.321,2.351
2.368,2.208
1.865,2.042
1.699,1.975
1.575,1.936
1.553,1.886
1.573,1.88
1.522,1.822
1.5,1.774
1.503,1.728
1.504,1.723
1.506,1.714
1.513,1.687
