"hard","soft"
2.125,2.125
2.125,2.125
2.125,2.125
2.094,2.094
2.15,2.15
2.354,2.354
2.5,2.5
2.641,2.641
2.797,2.797
2.859,2.859
2.937,2.937
3.094,3.094
3.156,3.156
2.953,2.953
2.703,2.703
2.391,2.391
2.062,2.062
1.859,1.859
1.609,1.609
1.234,1.234
0.937,0.937
0.828,0.828
0.937,0.937
1.156,1.156
1.469,1.469
1.75,1.75
2.125,2.125
2.594,2.594
1,2.828
5.328,3.5
3.344,3.344
3.203,3.203
2.984,2.984
2.781,2.781
2.453,2.453
2.078,2.078
1.828,1.828
1.625,1.625
1.531,1.531
1.594,1.594
1.828,1.828
2.047,2.047
2.375,2.375
2.734,2.734
2.922,2.922
3.062,3.062
3.281,3.281
3.344,3.344
3.141,3.141
2.891,2.891
2.562,2.562
2.187,2.187
1.891,1.891
1.625,1.625
1.297,1.297
1.089,1.089
0.979,0.979
0.9,0.9
0.844,0.844
0.833,0.833
0.812,0.812
0.75,0.75
