"V1","V2","V3","V4","V5","V6","V7"
"hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"6","1","1","0","4.94974746830583","0.707106781186547","4"
"1","1","0","1","1.41421356237309","0.707106781186547","1.5"
"1","0","1","3","0.707106781186547","2.82842712474619","2.5"
"0","1","3","0","0.707106781186547","2.12132034355964","2"
"1","3","0","5","2.82842712474619","3.53553390593274","4.5"
"3","0","5","6","2.12132034355964","7.77817459305202","7"
"0","5","6","1","3.53553390593274","4.94974746830583","6"
"5","6","1","0","7.77817459305202","0.707106781186547","6"
"6","1","0","3","4.94974746830583","2.12132034355964","5"
"1","0","3","9","0.707106781186547","8.48528137423857","6.5"
"0","3","9","3","2.12132034355964","8.48528137423857","7.5"
"3","9","3","2","8.48528137423857","3.53553390593274","8.5"
"9","3","2","3","8.48528137423857","3.53553390593274","8.5"
"3","2","3","0","3.53553390593274","2.12132034355964","4"
"2","3","0","2","3.53553390593274","1.41421356237309","3.5"
"3","0","2","4","2.12132034355964","4.24264068711928","4.5"
"0","2","4","0","1.41421356237309","2.82842712474619","3"
"2","4","0","0","4.24264068711928","0","3"
"4","0","0","0","2.82842712474619","0","2"
"0","0","0","0","0","0","0"
"0","0","0","0","0","0","0"
"0","0","0","2","0","1.41421356237309","1"
"0","0","2","0","0","1.41421356237309","1"
"0","2","0","0","1.41421356237309","0","1"
"2","0","0","2","1.41421356237309","1.41421356237309","2"
"0","0","2","3","0","3.53553390593274","2.5"
"0","2","3","11","1.41421356237309","9.89949493661166","8"
"2","3","11","5","3.53553390593274","11.3137084989848","10.5"
"3","11","5","3","9.89949493661166","5.65685424949238","11"
"11","5","3","2","11.3137084989848","3.53553390593274","10.5"
"5","3","2","4","5.65685424949238","4.24264068711928","7"
"3","2","4","2","3.53553390593274","4.24264068711928","5.5"
"2","4","2","0","4.24264068711928","1.41421356237309","4"
"4","2","0","1","4.24264068711928","0.707106781186547","3.5"
"2","0","1","2","1.41421356237309","2.12132034355964","2.5"
"0","1","2","0","0.707106781186547","1.41421356237309","1.5"
"1","2","0","1","2.12132034355964","0.707106781186547","2"
"2","0","1","3","1.41421356237309","2.82842712474619","3"
"0","1","3","0","0.707106781186547","2.12132034355964","2"
"1","3","0","1","2.82842712474619","0.707106781186547","2.5"
"3","0","1","6","2.12132034355964","4.94974746830583","5"
"0","1","6","2","0.707106781186547","5.65685424949238","4.5"
"1","6","2","0","4.94974746830583","1.41421356237309","4.5"
"6","2","0","5","5.65685424949238","3.53553390593274","6.5"
"2","0","5","10","1.41421356237309","10.6066017177982","8.5"
"0","5","10","3","3.53553390593274","9.19238815542512","9"
"5","10","3","3","10.6066017177982","4.24264068711928","10.5"
"10","3","3","2","9.19238815542512","3.53553390593274","9"
"3","3","2","1","4.24264068711928","2.12132034355964","4.5"
"3","2","1","0","3.53553390593274","0.707106781186547","3"
"2","1","0","3","2.12132034355964","2.12132034355964","3"
"1","0","3","0","0.707106781186547","2.12132034355964","2"
"0","3","0","2","2.12132034355964","1.41421356237309","2.5"
"3","0","2","0","2.12132034355964","1.41421356237309","2.5"
"0","2","0","1","1.41421356237309","0.707106781186547","1.5"
"2","0","1","0","1.41421356237309","0.707106781186547","1.5"
"0","1","0","1","0.707106781186547","0.707106781186547","1"
"1","0","1","0","0.707106781186547","0.707106781186547","1"
"0","1","0","2","0.707106781186547","1.41421356237309","1.5"
"Ds","Ds","Ds","Ds","Ds","Ds","Ds"
"6","1","1","0","3.53553390593274","0.707106781186547","3"
"1","1","0","1","0","-0.707106781186547","0.5"
"1","0","1","3","0.707106781186547","-1.41421356237309","-1.5"
"0","1","3","0","-0.707106781186547","2.12132034355964","-1"
"1","3","0","5","-1.41421356237309","-3.53553390593274","-0.5"
"3","0","5","6","2.12132034355964","-0.707106781186547","-4"
"0","5","6","1","-3.53553390593274","3.53553390593274","-1"
"5","6","1","0","-0.707106781186547","0.707106781186547","5"
"6","1","0","3","3.53553390593274","-2.12132034355964","2"
"1","0","3","9","0.707106781186547","-4.24264068711928","-5.5"
"0","3","9","3","-2.12132034355964","4.24264068711928","-4.5"
"3","9","3","2","-4.24264068711928","0.707106781186547","3.5"
"9","3","2","3","4.24264068711928","-0.707106781186547","3.5"
"3","2","3","0","0.707106781186547","2.12132034355964","1"
"2","3","0","2","-0.707106781186547","-1.41421356237309","1.5"
"3","0","2","4","2.12132034355964","-1.41421356237309","-1.5"
"0","2","4","0","-1.41421356237309","2.82842712474619","-1"
"2","4","0","0","-1.41421356237309","0","3"
"4","0","0","0","2.82842712474619","0","2"
"0","0","0","0","0","0","0"
"0","0","0","0","0","0","0"
"0","0","0","2","0","-1.41421356237309","-1"
"0","0","2","0","0","1.41421356237309","-1"
"0","2","0","0","-1.41421356237309","0","1"
"2","0","0","2","1.41421356237309","-1.41421356237309","0"
"0","0","2","3","0","-0.707106781186547","-2.5"
"0","2","3","11","-1.41421356237309","-5.65685424949238","-6"
"2","3","11","5","-0.707106781186547","4.24264068711928","-5.5"
"3","11","5","3","-5.65685424949238","1.41421356237309","3"
"11","5","3","2","4.24264068711928","0.707106781186547","5.5"
"5","3","2","4","1.41421356237309","-1.41421356237309","1"
"3","2","4","2","0.707106781186547","1.41421356237309","-0.5"
"2","4","2","0","-1.41421356237309","1.41421356237309","2"
"4","2","0","1","1.41421356237309","-0.707106781186547","2.5"
"2","0","1","2","1.41421356237309","-0.707106781186547","-0.5"
"0","1","2","0","-0.707106781186547","1.41421356237309","-0.5"
"1","2","0","1","-0.707106781186547","-0.707106781186547","1"
"2","0","1","3","1.41421356237309","-1.41421356237309","-1"
"0","1","3","0","-0.707106781186547","2.12132034355964","-1"
"1","3","0","1","-1.41421356237309","-0.707106781186547","1.5"
"3","0","1","6","2.12132034355964","-3.53553390593274","-2"
"0","1","6","2","-0.707106781186547","2.82842712474619","-3.5"
"1","6","2","0","-3.53553390593274","1.41421356237309","2.5"
"6","2","0","5","2.82842712474619","-3.53553390593274","1.5"
"2","0","5","10","1.41421356237309","-3.53553390593274","-6.5"
"0","5","10","3","-3.53553390593274","4.94974746830583","-4"
"5","10","3","3","-3.53553390593274","0","4.5"
"10","3","3","2","4.94974746830583","0.707106781186547","4"
"3","3","2","1","0","0.707106781186547","1.5"
"3","2","1","0","0.707106781186547","0.707106781186547","2"
"2","1","0","3","0.707106781186547","-2.12132034355964","0"
"1","0","3","0","0.707106781186547","2.12132034355964","-1"
"0","3","0","2","-2.12132034355964","-1.41421356237309","0.5"
"3","0","2","0","2.12132034355964","1.41421356237309","0.5"
"0","2","0","1","-1.41421356237309","-0.707106781186547","0.5"
"2","0","1","0","1.41421356237309","0.707106781186547","0.5"
"0","1","0","1","-0.707106781186547","-0.707106781186547","0"
"1","0","1","0","0.707106781186547","0.707106781186547","0"
