"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"6","1","1","0","1","3","0","5","6","1","0","3","9","3","2","3","4.94974746830583","0.707106781186547","2.82842712474619","3.53553390593274","4.94974746830583","2.12132034355964","8.48528137423857","3.53553390593274","4","4.5","5","8.5","6.01040764008565","9.54594154601839","11"
"1","1","0","1","3","0","5","6","1","0","3","9","3","2","3","0","1.41421356237309","0.707106781186547","2.12132034355964","7.77817459305202","0.707106781186547","8.48528137423857","3.53553390593274","2.12132034355964","1.5","7","6.5","4","6.01040764008565","7.42462120245875","9.49999999999999"
"1","0","1","3","0","5","6","1","0","3","9","3","2","3","0","2","0.707106781186547","2.82842712474619","3.53553390593274","4.94974746830583","2.12132034355964","8.48528137423857","3.53553390593274","1.41421356237309","2.5","6","7.5","3.5","6.01040764008565","7.77817459305202","9.74999999999999"
"0","1","3","0","5","6","1","0","3","9","3","2","3","0","2","4","0.707106781186547","2.12132034355964","7.77817459305202","0.707106781186547","8.48528137423857","3.53553390593274","2.12132034355964","4.24264068711928","2","6","8.5","4.5","5.65685424949238","9.19238815542511","10.5"
"1","3","0","5","6","1","0","3","9","3","2","3","0","2","4","0","2.82842712474619","3.53553390593274","4.94974746830583","2.12132034355964","8.48528137423857","3.53553390593274","1.41421356237309","2.82842712474619","4.5","5","8.5","3","6.7175144212722","8.13172798364529","10.5"
"3","0","5","6","1","0","3","9","3","2","3","0","2","4","0","0","2.12132034355964","7.77817459305202","0.707106781186547","8.48528137423857","3.53553390593274","2.12132034355964","4.24264068711928","0","7","6.5","4","3","9.54594154601839","4.94974746830583","10.25"
"0","5","6","1","0","3","9","3","2","3","0","2","4","0","0","0","3.53553390593274","4.94974746830583","2.12132034355964","8.48528137423857","3.53553390593274","1.41421356237309","2.82842712474619","0","6","7.5","3.5","2","9.54594154601839","3.88908729652601","9.49999999999999"
"5","6","1","0","3","9","3","2","3","0","2","4","0","0","0","0","7.77817459305202","0.707106781186547","8.48528137423857","3.53553390593274","2.12132034355964","4.24264068711928","0","0","6","8.5","4.5","0","10.2530483272049","3.18198051533946","9.49999999999999"
"6","1","0","3","9","3","2","3","0","2","4","0","0","0","0","0","4.94974746830583","2.12132034355964","8.48528137423857","3.53553390593274","1.41421356237309","2.82842712474619","0","0","5","8.5","3","0","9.54594154601839","2.12132034355964","8.25"
"1","0","3","9","3","2","3","0","2","4","0","0","0","0","0","2","0.707106781186547","8.48528137423857","3.53553390593274","2.12132034355964","4.24264068711928","0","0","1.41421356237309","6.5","4","3","1","7.42462120245875","2.82842712474619","7.25"
"0","3","9","3","2","3","0","2","4","0","0","0","0","0","2","0","2.12132034355964","8.48528137423857","3.53553390593274","1.41421356237309","2.82842712474619","0","0","1.41421356237309","7.5","3.5","2","1","7.77817459305202","2.12132034355964","7"
"3","9","3","2","3","0","2","4","0","0","0","0","0","2","0","0","8.48528137423857","3.53553390593274","2.12132034355964","4.24264068711928","0","0","1.41421356237309","0","8.5","4.5","0","1","9.19238815542511","0.707106781186547","7"
"9","3","2","3","0","2","4","0","0","0","0","0","2","0","0","2","8.48528137423857","3.53553390593274","1.41421356237309","2.82842712474619","0","0","1.41421356237309","1.41421356237309","8.5","3","0","2","8.13172798364529","1.41421356237309","6.75"
"3","2","3","0","2","4","0","0","0","0","0","2","0","0","2","3","3.53553390593274","2.12132034355964","4.24264068711928","0","0","1.41421356237309","0","3.53553390593274","4","3","1","2.5","4.94974746830583","2.47487373415292","5.25"
"2","3","0","2","4","0","0","0","0","0","2","0","0","2","3","11","3.53553390593274","1.41421356237309","2.82842712474619","0","0","1.41421356237309","1.41421356237309","9.89949493661166","3.5","2","1","8","3.88908729652601","6.36396103067893","7.25"
"3","0","2","4","0","0","0","0","0","2","0","0","2","3","11","5","2.12132034355964","4.24264068711928","0","0","1.41421356237309","0","3.53553390593274","11.3137084989848","4.5","0","1","10.5","3.18198051533946","8.13172798364529","8"
"0","2","4","0","0","0","0","0","2","0","0","2","3","11","5","3","1.41421356237309","2.82842712474619","0","0","1.41421356237309","1.41421356237309","9.89949493661166","5.65685424949238","3","0","2","11","2.12132034355964","9.19238815542512","8"
"2","4","0","0","0","0","0","2","0","0","2","3","11","5","3","2","4.24264068711928","0","0","1.41421356237309","0","3.53553390593274","11.3137084989848","3.53553390593274","3","1","2.5","10.5","2.82842712474619","9.19238815542512","8.5"
"4","0","0","0","0","0","2","0","0","2","3","11","5","3","2","4","2.82842712474619","0","0","1.41421356237309","1.41421356237309","9.89949493661166","5.65685424949238","4.24264068711928","2","1","8","7","2.12132034355964","10.6066017177982","9"
"0","0","0","0","0","2","0","0","2","3","11","5","3","2","4","2","0","0","1.41421356237309","0","3.53553390593274","11.3137084989848","3.53553390593274","4.24264068711928","0","1","10.5","5.5","0.707106781186547","11.3137084989848","8.5"
"0","0","0","0","2","0","0","2","3","11","5","3","2","4","2","0","0","0","1.41421356237309","1.41421356237309","9.89949493661166","5.65685424949238","4.24264068711928","1.41421356237309","0","2","11","4","1.41421356237309","10.6066017177982","8.5"
"0","0","0","2","0","0","2","3","11","5","3","2","4","2","0","1","0","1.41421356237309","0","3.53553390593274","11.3137084989848","3.53553390593274","4.24264068711928","0.707106781186547","1","2.5","10.5","3.5","2.47487373415292","9.89949493661166","8.75"
"0","0","2","0","0","2","3","11","5","3","2","4","2","0","1","2","0","1.41421356237309","1.41421356237309","9.89949493661166","5.65685424949238","4.24264068711928","1.41421356237309","2.12132034355964","1","8","7","2.5","6.36396103067893","6.7175144212722","9.25"
"0","2","0","0","2","3","11","5","3","2","4","2","0","1","2","0","1.41421356237309","0","3.53553390593274","11.3137084989848","3.53553390593274","4.24264068711928","0.707106781186547","1.41421356237309","1","10.5","5.5","1.5","8.13172798364529","4.94974746830583","9.25"
"2","0","0","2","3","11","5","3","2","4","2","0","1","2","0","1","1.41421356237309","1.41421356237309","9.89949493661166","5.65685424949238","4.24264068711928","1.41421356237309","2.12132034355964","0.707106781186547","2","11","4","2","9.19238815542512","4.24264068711928","9.5"
"0","0","2","3","11","5","3","2","4","2","0","1","2","0","1","3","0","3.53553390593274","11.3137084989848","3.53553390593274","4.24264068711928","0.707106781186547","1.41421356237309","2.82842712474619","2.5","10.5","3.5","3","9.19238815542512","4.59619407771256","9.75"
"0","2","3","11","5","3","2","4","2","0","1","2","0","1","3","0","1.41421356237309","9.89949493661166","5.65685424949238","4.24264068711928","1.41421356237309","2.12132034355964","0.707106781186547","2.12132034355964","8","7","2.5","2","10.6066017177982","3.18198051533946","9.75"
"2","3","11","5","3","2","4","2","0","1","2","0","1","3","0","1","3.53553390593274","11.3137084989848","3.53553390593274","4.24264068711928","0.707106781186547","1.41421356237309","2.82842712474619","0.707106781186547","10.5","5.5","1.5","2.5","11.3137084989848","2.82842712474619","10"
"3","11","5","3","2","4","2","0","1","2","0","1","3","0","1","6","9.89949493661166","5.65685424949238","4.24264068711928","1.41421356237309","2.12132034355964","0.707106781186547","2.12132034355964","4.94974746830583","11","4","2","5","10.6066017177982","4.94974746830583","11"
